term,tf
게임,5634
스테이지,1145
시간,1134
제작,1127
재미,1100
플레이,1063
느낌,920
생각,820
스토리,802
보스,575
플레이어,539
진행,539
사람,529
추천,497
조작,490
요소,425
아이템,413
처음,394
퍼즐,384
기술,376
문제,370
난이도,369
업데이트,361
구매,360
캐릭터,344
전투,344
마지막,340
돈,332
시작,328
공격,322
시스템,299
불편,283
개발자,276
환불,270
그래픽,268
무기,250
이상,249
반복,247
수준,243
서버,241
평가,238
기대,238
초반,233
힘들,228
필요,227
짜증,227
패턴,219
친구,214
할인,204
저장,202
부족,195
회차,192
가격,191
추가,187
이동,187
퀘스트,182
사용,181
이유,178
선택,177
이해,177
소울,172
공포,171
점프,169
중간,167
단점,164
구간,164
친절,163
기본,163
Roguelike,163
모드,160
한글,159
설정,159
주인공,158
사실,155
장르,155
디자인,154
번역,152
노가다,150
장점,150
아쉽,150
모션,149
설명,147
몬스터,146
다음,145
멀티,144
방식,144
액션,142
존재,140
생존,138
레벨,138
쓰레기,137
출시,134
분위기,134
개인,134
의미,133
상태,133
도전,132
월드,131
파밍,130
상황,129
